"Sample Collection Date","Site Name","County","PCR Pathogen Target","PCR Gene Target","Normalized Pathogen Concentration (gene copies/person/day)","Date/Time Updated"
2023-08-21 00:00:00,"Riverside Park Water Reclamation Facility","Spokane","FLUAV","InfA1 and InfA2 combined",0,2024-04-10 09:07:19
2023-08-23 00:00:00,"Riverside Park Water Reclamation Facility","Spokane","FLUAV","InfA1 and InfA2 combined",0,2024-04-10 09:07:19
2023-08-25 00:00:00,"Riverside Park Water Reclamation Facility","Spokane","FLUAV","InfA1 and InfA2 combined",0,2024-04-10 09:07:19
2023-08-28 00:00:00,"Riverside Park Water Reclamation Facility","Spokane","FLUAV","InfA1 and InfA2 combined",0,2024-04-10 09:07:19
2023-08-30 00:00:00,"Riverside Park Water Reclamation Facility","Spokane","FLUAV","InfA1 and InfA2 combined",0,2024-04-10 09:07:19
2023-09-01 00:00:00,"Riverside Park Water Reclamation Facility","Spokane","FLUAV","InfA1 and InfA2 combined",0,2024-04-10 09:07:19
2023-09-06 00:00:00,"Riverside Park Water Reclamation Facility","Spokane","FLUAV","InfA1 and InfA2 combined",0,2024-04-10 09:07:19
2023-09-08 00:00:00,"Riverside Park Water Reclamation Facility","Spokane","FLUAV","InfA1 and InfA2 combined",0,2024-04-10 09:07:19
2023-09-11 00:00:00,"Riverside Park Water Reclamation Facility","Spokane","FLUAV","InfA1 and InfA2 combined",0,2024-04-10 09:07:19
2023-09-13 00:00:00,"Riverside Park Water Reclamation Facility","Spokane","FLUAV","InfA1 and InfA2 combined",0,2024-04-10 09:07:19
2023-09-15 00:00:00,"Riverside Park Water Reclamation Facility","Spokane","FLUAV","InfA1 and InfA2 combined",0,2024-04-10 09:07:19
2023-09-18 00:00:00,"Riverside Park Water Reclamation Facility","Spokane","FLUAV","InfA1 and InfA2 combined",0,2024-04-10 09:07:19
2023-09-20 00:00:00,"Riverside Park Water Reclamation Facility","Spokane","FLUAV","InfA1 and InfA2 combined",0,2024-04-10 09:07:19
2023-09-22 00:00:00,"Riverside Park Water Reclamation Facility","Spokane","FLUAV","InfA1 and InfA2 combined",0,2024-04-10 09:07:19
2023-09-25 00:00:00,"Riverside Park Water Reclamation Facility","Spokane","FLUAV","InfA1 and InfA2 combined",0,2024-04-10 09:07:19
2023-09-27 00:00:00,"Riverside Park Water Reclamation Facility","Spokane","FLUAV","InfA1 and InfA2 combined",0,2024-04-10 09:07:19
2023-09-29 00:00:00,"Riverside Park Water Reclamation Facility","Spokane","FLUAV","InfA1 and InfA2 combined",0,2024-04-10 09:07:19
2023-10-02 00:00:00,"Riverside Park Water Reclamation Facility","Spokane","FLUAV","InfA1 and InfA2 combined",0,2024-04-10 09:07:19
2023-10-04 00:00:00,"Riverside Park Water Reclamation Facility","Spokane","FLUAV","InfA1 and InfA2 combined",0,2024-04-10 09:07:19
2023-10-06 00:00:00,"Riverside Park Water Reclamation Facility","Spokane","FLUAV","InfA1 and InfA2 combined",0,2024-04-10 09:07:19
2023-10-09 00:00:00,"Riverside Park Water Reclamation Facility","Spokane","FLUAV","InfA1 and InfA2 combined",0,2024-04-10 09:07:19
2023-10-11 00:00:00,"Riverside Park Water Reclamation Facility","Spokane","FLUAV","InfA1 and InfA2 combined",0,2024-04-10 09:07:19
2023-10-13 00:00:00,"Riverside Park Water Reclamation Facility","Spokane","FLUAV","InfA1 and InfA2 combined",0,2024-04-10 09:07:19
2023-10-16 00:00:00,"Riverside Park Water Reclamation Facility","Spokane","FLUAV","InfA1 and InfA2 combined",0,2024-04-10 09:07:19
2023-10-18 00:00:00,"Riverside Park Water Reclamation Facility","Spokane","FLUAV","InfA1 and InfA2 combined",0,2024-04-10 09:07:19
2023-10-20 00:00:00,"Riverside Park Water Reclamation Facility","Spokane","FLUAV","InfA1 and InfA2 combined",0,2024-04-10 09:07:19
