"Season","Week Start","Week End","Week","Location","Care Type","1-Week Percent COVID-19","dtm_updated"
"2021-2022",2021-10-03 00:00:00,2021-10-09 00:00:00,40,"Better Health Together","Hospitalizations","13.9",2024-04-16 07:58:20
"2021-2022",2021-10-03 00:00:00,2021-10-09 00:00:00,40,"Better Health Together","Emergency Visits","8.2",2024-04-16 07:58:20
"2021-2022",2021-10-03 00:00:00,2021-10-09 00:00:00,40,"Cascade Pacific Action Alliance","Hospitalizations","11.1",2024-04-16 07:58:20
"2021-2022",2021-10-03 00:00:00,2021-10-09 00:00:00,40,"Cascade Pacific Action Alliance","Emergency Visits","6.4",2024-04-16 07:58:20
"2021-2022",2021-10-03 00:00:00,2021-10-09 00:00:00,40,"Elevate Health","Hospitalizations","8.5",2024-04-16 07:58:20
"2021-2022",2021-10-03 00:00:00,2021-10-09 00:00:00,40,"Elevate Health","Emergency Visits","5",2024-04-16 07:58:20
"2021-2022",2021-10-03 00:00:00,2021-10-09 00:00:00,40,"Greater Health Now","Hospitalizations","13",2024-04-16 07:58:20
"2021-2022",2021-10-03 00:00:00,2021-10-09 00:00:00,40,"Greater Health Now","Emergency Visits","6.8",2024-04-16 07:58:20
"2021-2022",2021-10-03 00:00:00,2021-10-09 00:00:00,40,"Healthier Here","Hospitalizations","4.4",2024-04-16 07:58:20
"2021-2022",2021-10-03 00:00:00,2021-10-09 00:00:00,40,"Healthier Here","Emergency Visits","3.4",2024-04-16 07:58:20
"2021-2022",2021-10-03 00:00:00,2021-10-09 00:00:00,40,"North Sound","Hospitalizations","8",2024-04-16 07:58:20
"2021-2022",2021-10-03 00:00:00,2021-10-09 00:00:00,40,"North Sound","Emergency Visits","4.9",2024-04-16 07:58:20
"2021-2022",2021-10-03 00:00:00,2021-10-09 00:00:00,40,"Olympic Community of Health","Hospitalizations","7.6",2024-04-16 07:58:20
"2021-2022",2021-10-03 00:00:00,2021-10-09 00:00:00,40,"Olympic Community of Health","Emergency Visits","4.4",2024-04-16 07:58:20
"2021-2022",2021-10-03 00:00:00,2021-10-09 00:00:00,40,"Southwest Washington","Hospitalizations","10.1",2024-04-16 07:58:20
"2021-2022",2021-10-03 00:00:00,2021-10-09 00:00:00,40,"Southwest Washington","Emergency Visits","6",2024-04-16 07:58:20
"2021-2022",2021-10-03 00:00:00,2021-10-09 00:00:00,40,"Statewide","Hospitalizations","8.5",2024-04-16 07:58:20
"2021-2022",2021-10-03 00:00:00,2021-10-09 00:00:00,40,"Statewide","Emergency Visits","5.4",2024-04-16 07:58:20
"2021-2022",2021-10-03 00:00:00,2021-10-09 00:00:00,40,"Thriving Together NCW","Hospitalizations","16.1",2024-04-16 07:58:20
"2021-2022",2021-10-03 00:00:00,2021-10-09 00:00:00,40,"Thriving Together NCW","Emergency Visits","8.3",2024-04-16 07:58:20
